name,channel,business_category,distributor_type,is_distributor,distributor_potential,is_chain,address,latitude,longitude,phone_number,international_phone,website,business_status,distance_from_plant_km,priority_score,estimated_monthly_water_liters,estimated_monthly_water_revenue,google_maps_url,plant,bearing,direction,distance_band,zone,cluster,has_phone,sales_officer,officer_mobile,cluster_id,distance_range,sector
Subramani house (DNS),food,HoReCa,Retailer,No,Medium,No,"JP82+7P6, Denkanikota",12.6157252,77.7017373,Not Available,Not Available,Not Available,OPERATIONAL,29,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJPwEsvmdlrjsRzUOQvjf-R0o,Harohalli,104.1331438,East,Outer,,Cluster5,No,Srikantha B N,9738258828,Cluster5,20-31 KM,5
Sri Anjaneya Temple,food,HoReCa,Retailer,No,Medium,No,"JP92+RVJ, Hosur - Thally Road, Devaganapalli",12.6195968,77.702134,Not Available,Not Available,Not Available,OPERATIONAL,28.94,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJMQCPPMFlrjsRD9xdLvQiC8U,Harohalli,103.2859695,East,Outer,,Cluster5,No,Srikantha B N,9738258828,Cluster5,20-31 KM,5
Parijathamma Nilay,food,HoReCa,Retailer,No,Medium,No,"JP82+7HX, Denkanikota",12.6157257,77.7014766,Not Available,Not Available,Not Available,OPERATIONAL,28.98,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJBT_2_eplrjsR5YhKI5W-8eo,Harohalli,104.1467497,East,Outer,,Cluster5,No,Srikantha B N,9738258828,Cluster5,20-31 KM,5
Ajay Home,food,HoReCa,Retailer,No,Medium,No,"JP82+CGX, Devaganapalli",12.6161031,77.701349,Not Available,Not Available,Not Available,OPERATIONAL,28.95,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJiYkTVchlrjsRjhvmW6d8hIc,Harohalli,104.0729619,East,Outer,,Cluster5,No,Srikantha B N,9738258828,Cluster5,20-31 KM,5
Sri lakshmi Narasimha swamy Temple DGP,food,HoReCa,Retailer,No,Medium,No,"JP82+9C3, Denkanikottai",12.6158823,77.7010329,Not Available,Not Available,Not Available,OPERATIONAL,28.92,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJEzDffwBlrjsRt2qoFyFd-dk,Harohalli,104.1367116,East,Outer,,Cluster5,No,Srikantha B N,9738258828,Cluster5,20-31 KM,5
Nandhini Mobiles,food,HoReCa,Retailer,No,Medium,No,"Hosur - Thally Road, Devaganapalli",12.6167223,77.7009962,094895 57795,+91 94895 57795,Not Available,OPERATIONAL,28.9,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJlT6-dMBlrjsR8_SjKmvcpAg,Harohalli,103.959107,East,Outer,,Cluster5,Yes,Srikantha B N,9738258828,Cluster5,20-31 KM,5
Vao Office Devaganapalli,food,HoReCa,Retailer,No,Medium,No,"JM8X+WX7, Devaganapalli",12.6172882,77.6999225,096006 07550,+91 96006 07550,Not Available,OPERATIONAL,28.77,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJNwCNUIdkrjsR2hkU2S122Es,Harohalli,103.8937129,East,Outer,,Cluster5,Yes,Srikantha B N,9738258828,Cluster5,20-31 KM,5
Madhuramma temple,food,HoReCa,Retailer,No,Medium,No,"Bus Stop, Hosur - Thally Road, Devaganapalli",12.6173704,77.6996919,Not Available,Not Available,Not Available,OPERATIONAL,28.74,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJ_0lDMRJlrjsRSu3pn0EO45c,Harohalli,103.8880549,East,Outer,,Cluster5,No,Srikantha B N,9738258828,Cluster5,20-31 KM,5
Nagaraj DMN Building,food,HoReCa,Retailer,No,Medium,No,"JP72+V2J, Devaganapalli",12.6151158,77.699321,Not Available,Not Available,Not Available,OPERATIONAL,28.77,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJD8EGqEFlrjsRoFRVtDBj758,Harohalli,104.3920177,East,Outer,,Cluster5,No,Srikantha B N,9738258828,Cluster5,20-31 KM,5
Srinivas Nilaya,food,HoReCa,Retailer,No,Medium,No,"JM8X+3C, Devaganapalli",12.6151547,77.6985271,Not Available,Not Available,Not Available,OPERATIONAL,28.68,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJUz_qiQllrjsR_5nnFNxpj_8,Harohalli,104.4265884,East,Outer,,Cluster5,No,Srikantha B N,9738258828,Cluster5,20-31 KM,5
Babu Jayaram,food,HoReCa,Retailer,No,Medium,No,"JPH5+5FF, Periamadakondapalli",12.6279269,77.7086592,Not Available,Not Available,Not Available,CLOSED_TEMPORARILY,29.44,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJZc28CwBlrjsR4cLD2lp4C4Q,Harohalli,101.2132206,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Santosh house,food,HoReCa,Retailer,No,Medium,No,"JM7X+XMW, Denkanikottai",12.6153467,77.6982934,Not Available,Not Available,Not Available,OPERATIONAL,28.65,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJO9LfBwBlrjsRRNdMS-JvuV8,Harohalli,104.3979332,East,Outer,,Cluster5,No,Srikantha B N,9738258828,Cluster5,20-31 KM,5
Shankar Farm,food,HoReCa,Retailer,No,Medium,No,"JPH5+837, Periamadakondapalli",12.6282982,77.7076835,Not Available,Not Available,Not Available,OPERATIONAL,29.32,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJaw8HYwBlrjsR6haFVKREaJg,Harohalli,101.1745388,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Dr. H.L.Thimmegowda College of Pharmacy Bangalore South District,food,HoReCa,Retailer,No,Medium,No,"Kengal Hanumanthaiah Circle, Channapatna",12.6806371,77.2301123,098800 13139,+91 98800 13139,http://hltcollegeofpharmacy.org/,OPERATIONAL,23.05,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJx_YWgIJSrjsRsom71h33Tso,Harohalli,270.3270777,West,Outer,,Cluster11,Yes,Vacant,,Cluster11,20-31 KM,11
Bank Of Baroda,food,HoReCa,Retailer,No,Medium,No,Vandaraguppe SH17,12.679282,77.227975,1800 258 4455,+91 1800 258 4455,https://www.bankofbaroda.in/,OPERATIONAL,23.28,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJ4U5hpGJNrjsRBKnZi-uun2E,Harohalli,269.9534003,West,Outer,,Cluster11,Yes,Vacant,,Cluster11,20-31 KM,11
Oxford College,food,HoReCa,Retailer,No,Medium,No,"Vandaraguppe, Bus Stop, State Highway 17",12.6781216,77.2271985,Not Available,Not Available,Not Available,OPERATIONAL,23.36,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJ6dvIZZ1SrjsRQiEMRzUNhQs,Harohalli,269.6372912,West,Outer,,Cluster11,No,Vacant,,Cluster11,20-31 KM,11
"Channapatna East Police Station, Bangalore South",food,HoReCa,Retailer,No,Medium,No,"M687+8XJ, 562160, National Highway 275, BM Road, Channapatna",12.6639779,77.2168736,Not Available,Not Available,Not Available,OPERATIONAL,24.54,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJ2drDgr1SrjsRFz03y3Y_MpM,Harohalli,265.9822605,West,Outer,,Cluster11,No,Vacant,,Cluster11,20-31 KM,11
Canara Bank ATM,food,HoReCa,Retailer,No,Medium,No,"M656+V2M, H. M. Mohalla, Syedwadi, Channapatna",12.6597042,77.2100389,1800 425 0018,+91 1800 425 0018,Not Available,OPERATIONAL,25.32,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJD5Vxa7lSrjsRi6diKpUs4Sk,Harohalli,265.0286285,West,Outer,,Cluster11,Yes,Vacant,,Cluster11,20-31 KM,11
Union Industries,food,HoReCa,Retailer,No,Medium,No,"350/1A, M.G Road, Channapatna",12.6578668,77.2107768,098442 28730,+91 98442 28730,Not Available,OPERATIONAL,25.26,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJAy9k2bhSrjsRfk7EB6AlRKs,Harohalli,264.5510715,West,Outer,,Cluster11,Yes,Vacant,,Cluster11,20-31 KM,11
Malur,food,HoReCa,Retailer,No,Medium,No,Malur,12.6478903,77.180102,Not Available,Not Available,Not Available,UNKNOWN,28.69,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJARXyMBGtrzsRUwBIba8pYpE,Harohalli,262.9830123,West,Outer,,Cluster11,No,Vacant,,Cluster11,20-31 KM,11
"Oxford International Public School,Channapatna 562160",food,HoReCa,Retailer,No,Medium,No,Chikkamannugudde S.F,12.6588742,77.231058,Not Available,Not Available,Not Available,OPERATIONAL,23.06,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJ1YIKWlNTrjsREqU-rCFAUc8,Harohalli,264.3043378,West,Outer,,Cluster11,No,Vacant,,Cluster11,20-31 KM,11
Anekal Rural,food,HoReCa,Retailer,No,Medium,No,Anekal Rural,12.6995884,77.695126,Not Available,Not Available,Not Available,UNKNOWN,27.49,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJ9afivmRvrjsRZLru6G73FYw,Harohalli,85.32040628,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Swamy Vivekananda Central School CBSE,food,HoReCa,Retailer,No,Medium,No,"Sy No:29/3, Thelagaralhalli, Thally, Main Road, Anekal",12.6891164,77.6877436,082775 69000,+91 82775 69000,https://www.svcschool.edu.in/,OPERATIONAL,26.62,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJxT5bqpplrjsRgU3sFAkX6AY,Harohalli,87.68017295,East,Outer,,Cluster4,Yes,Khadeer ali,9008436667,Cluster4,20-31 KM,4
ICICI Bank ATM,food,HoReCa,Retailer,No,Medium,No,"MMPW+PR5, Hosur Road, Singasandra, Bengaluru",12.6867519,77.6971231,Not Available,Not Available,Not Available,OPERATIONAL,27.63,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJfXs9k7AXrjsRn14N6F_kB2I,Harohalli,88.30839611,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Colina Meadows,food,HoReCa,Retailer,No,Medium,No,Gumlapuram,12.6626642,77.6567101,Not Available,Not Available,http://www.colinameadows.com/,OPERATIONAL,23.31,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJ08RuKwBlrjsRYsC1gvmguUo,Harohalli,94.59357297,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Thammanayakanahalli,food,HoReCa,Retailer,No,Medium,No,Thammanayakanahalli,12.6976017,77.64098,Not Available,Not Available,Not Available,UNKNOWN,21.62,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJKUa62BVmrjsRmm_LWAC9NkQ,Harohalli,84.64742346,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
La ferme,food,HoReCa,Retailer,No,Medium,No,MM64+FCH,12.6611982,77.6561093,Not Available,Not Available,Not Available,OPERATIONAL,23.26,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJBXwzw-xlrjsR3RYqvdG-QPo,Harohalli,95.0068243,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Flower house,food,HoReCa,Retailer,No,Medium,No,"MMH6+9R, Tamapura",12.6784802,77.6620236,Not Available,Not Available,Not Available,CLOSED_TEMPORARILY,23.81,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJIVYMXQBlrjsRAeGulgCr5H4,Harohalli,90.25903958,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
TAC farms,food,HoReCa,Retailer,No,Medium,No,"MMC8+FP5, Denkanikota",12.6711357,77.6668653,Not Available,Not Available,Not Available,OPERATIONAL,24.35,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJE-sjaQBlrjsRJqTxJFyXWW8,Harohalli,92.17413012,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
"Govt.Primary Health Centre,Gummalapuram",food,HoReCa,Retailer,No,Medium,No,MM47+VJ2,12.6571474,77.6640027,Not Available,Not Available,Not Available,OPERATIONAL,24.15,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJI4XYR5RlrjsRBJASmXvWC2Q,Harohalli,95.89219945,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
KRISHNA FORM (TMK Thammapura),food,HoReCa,Retailer,No,Medium,No,"MMFC+5H3, Denkanikota",12.6728867,77.6714214,Not Available,Not Available,Not Available,OPERATIONAL,24.84,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJ1fEyBABlrjsRvraD_02vWus,Harohalli,91.68112833,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
TVR Farms,food,HoReCa,Retailer,No,Medium,No,Tamapura,12.6751839,77.6710171,Not Available,Not Available,Not Available,OPERATIONAL,24.79,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJFeCwRQBlrjsRntrIxGeXL7E,Harohalli,91.09407253,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Sri Kshetra Gummalapura GowriDevi Devaalaya,food,HoReCa,Retailer,No,Medium,No,"MM58+249, Gumlapuram",12.6575936,77.6654079,Not Available,Not Available,Not Available,OPERATIONAL,24.3,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJL-BqXwBlrjsR3n-Wk59R4v4,Harohalli,95.7386395,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Basaveshwara Temple,food,HoReCa,Retailer,No,Medium,No,"MM69+VRM, Ulimaranapalli",12.6622195,77.6695539,Not Available,Not Available,Not Available,OPERATIONAL,24.7,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJ9Wc-S1ZlrjsR5W6APIdtTKw,Harohalli,94.44632843,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
ಶ್ರೀ ಗೌರಿ ಗಣೇಶ,food,HoReCa,Retailer,No,Medium,No,"MM58+249, Gumlapuram",12.6575301,77.6653556,Not Available,Not Available,Not Available,OPERATIONAL,24.3,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJEfCDVIFlrjsR9b-IUpvcdjg,Harohalli,95.75655558,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Scooter valley view point,food,HoReCa,Retailer,No,Medium,No,"MMP7+723, Anekal",12.6856478,77.6625611,Not Available,Not Available,Not Available,OPERATIONAL,23.88,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJU95DlTRlrjsR1HSLb4snKFk,Harohalli,88.34546877,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Evergeen farms,food,HoReCa,Retailer,No,Medium,No,"MM8C+XXF, Tamapura",12.6674478,77.6724262,Not Available,Not Available,Not Available,OPERATIONAL,24.97,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJM6_NXwBlrjsRTXEx52UceiI,Harohalli,93.06052421,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
